实例规格,vCPU,内存（GiB）,网络带宽基础/突发（Gbit/s）,网络收发包PPS,连接数,多队列,弹性网卡,单网卡私有IPv4地址数,单网卡IPv6地址数,云盘IOPS基础/突发,云盘带宽基础/突发（Gbit/s）
ecs.c8a.large,2,4,1.5/最高12.5,90万,最高25万,2,3,6,6,2万/最高11万,1.5/最高10
ecs.c8a.xlarge,4,8,2.5/最高12.5,100万,最高25万,4,4,15,15,3万/最高11万,2/最高10
ecs.c8a.2xlarge,8,16,4/最高12.5,160万,最高25万,8,4,15,15,4.5万/最高11万,2.5/最高10
ecs.c8a.4xlarge,16,32,7/最高12.5,200万,30万,16,8,30,30,6万/最高11万,3.5/最高10
ecs.c8a.8xlarge,32,64,10/最高25,300万,60万,32,8,30,30,8万/最高11万,5/最高10
ecs.c8a.12xlarge,48,96,16/25,450万,75万,48,8,30,30,12万/无,8/最高10
ecs.c8a.16xlarge,64,128,20/25,600万,100万,64,8,30,30,16万/无,10/无
ecs.c8a.24xlarge,96,192,32/无,900万,150万,64,15,30,30,24万/无,16/无
ecs.c8a.32xlarge,128,256,40/无,1200万,200万,64,15,30,30,32万/无,20/无
ecs.c8a.48xlarge,192,384,64/无,1800万,300万,64,15,30,30,50万/无,32/无
