实例规格,vCPU,内存（GiB）,本地存储,网络基础带宽（Gbit/s）,网络收发包PPS
ecs.i1.xlarge,4,16,2 * 111 GB(2 * 104 GiB),0.8,20万
ecs.i1.2xlarge,8,32,2 * 223 GB(2 * 208 GiB),1.5,40万
ecs.i1.3xlarge,12,48,2 * 335 GB(2 * 312 GiB),2,40万
ecs.i1.4xlarge,16,64,2 * 446 GB(2 * 416 GiB),3,50万
ecs.i1-c5d1.4xlarge,16,64,2 * 1563 GB(2 * 1456 GiB),3,40万
ecs.i1.6xlarge,24,96,2 * 670 GB(2 * 624 GiB),4.5,60万
ecs.i1.8xlarge,32,128,2 * 893 GB(2 * 832 GiB),6,80万
ecs.i1-c10d1.8xlarge,32,128,2 * 1563 GB(2 * 1456 GiB),6,80万
ecs.i1.14xlarge,56,224,2 * 1563 GB(2 * 1456 GiB),10,120万
