CPU©,内存（G）,价格单位,中国大陆Linux/ Windows,新加坡Linux,新加坡Windows
1,1,元/小时,0.2384,0.3815,0.763
1,2,元/小时,0.2812,0.45,0.9
1,4,元/小时,0.3667,0.587,1.174
1,8,元/小时,0.538,0.861,1.722
2,2,元/小时,0.4768,0.763,1.526
2,4,元/小时,0.5624,0.9,1.8
2,8,元/小时,0.7336,1.174,2.348
2,16,元/小时,1.076,1.722,3.444
4,4,元/小时,0.9536,1.526,3.052
4,8,元/小时,1.1248,1.8,3.6
4,16,元/小时,1.4672,2.348,4.696
4,32,元/小时,2.152,3.444,6.888
8,8,元/小时,1.9072,3.052,6.104
8,16,元/小时,2.2496,3.6,7.2
8,32,元/小时,2.9344,4.696,9.392
8,64,元/小时,4.304,6.888,13.776
12,24,元/小时,3.3744,5.4,10.8
12,48,元/小时,4.4016,7.044,14.088
16,16,元/小时,3.8144,6.104,12.208
16,32,元/小时,4.4992,7.2,14.4
16,64,元/小时,5.8688,9.392,18.784
16,128,元/小时,8.608,13.776,27.552
24,48,元/小时,6.7488,10.8,21.6
24,96,元/小时,8.8032,14.088,28.176
32,64,元/小时,8.9984,14.4,28.8
32,128,元/小时,11.7376,18.784,37.568
