CPU©,内存（G）,价格单位,中国大陆 Linux/Windows,新加坡Linux,新加坡Windows
2,4,元/小时,0.3654,0.585,1.1698
2,8,元/小时,0.4742,0.7594,1.5182
4,8,元/小时,0.7308,1.17,2.3396
4,16,元/小时,0.9484,1.5188,3.0364
8,16,元/小时,1.4616,2.34,4.6792
8,32,元/小时,1.8968,3.0376,6.0728
12,24,元/小时,2.1924,3.51,7.0188
12,48,元/小时,2.8452,4.5564,9.1092
16,32,元/小时,2.9232,4.68,9.3584
16,64,元/小时,3.7936,6.0752,12.1456
24,48,元/小时,4.3848,7.02,14.0376
24,96,元/小时,5.6904,9.1128,18.2184
32,64,元/小时,5.8464,9.36,18.7168
32,128,元/小时,7.5872,12.1504,24.2912
64,128,元/小时,11.6928,18.72,37.4336
64,256,元/小时,15.1744,24.3008,48.5824
